cov	cov	cov	env	indid	cov
0	0	0	0	05D00544	0
0	0	0	0	05D00548	0
0	0	0	0	05D00550	0
0	0	0	0	05D00551	0
0	0	0	0	05D00552	0
0	0	0	0	05D00557	0
0	0	0	0	05D00558	0
0	0	0	0	05D00573	0
0	0	0	1	05D00574	0
0	0	0	0	05D00920	0
0	0	0	0	05D00921	0
0	0	0	1	05D00922	0
0	0	0	0	05D00923	0
0	0	0	0	05D00924	0
0	0	0	0	05D00928	0
0	0	0	0	05D00940	0
0	0	0	0	05D00942	0
0	0	0	0	05D00943	0
0	0	0	0	05D00963	0
0	0	0	0	05D00964	0
0	0	0	1	05D00970	0
0	0	0	0	05D00972	0
0	0	0	0	05D00973	0
0	0	0	0	05D00974	0
0	0	0	0	05D00985	0
0	0	0	0	05D00988	0
0	0	0	0	05D00990	0
0	0	0	0	05D00994	0
0	0	0	1	05D01014	0
0	0	0	0	05D01020	0
0	0	0	0	05D01021	0
0	0	0	0	05D01023	0
0	0	0	0	05D01026	0
0	0	0	1	05D01038	0
0	0	0	0	05D01075	0
0	0	0	1	05D01078	0
0	0	0	0	05D01088	0
0	0	0	0	05D01090	0
0	0	0	0	05D01100	0
0	0	0	2	05D01101	0
0	0	0	0	05D01102	0
0	0	0	0	05D01103	0
0	0	0	0	05D01104	0
0	0	0	0	05D01105	0
0	0	0	0	05D01106	0
0	0	0	NA	05D01107	0
0	0	0	0	05D01109	0
0	0	0	1	05D01110	0
0	0	0	0	05D01111	0
0	0	0	1	05D01118	0
0	0	0	0	05D01119	0
0	0	0	0	05D01132	0
0	0	0	0	05D01133	0
0	0	0	0	05D01134	0
0	0	0	0	05D01135	0
0	0	0	0	05D01136	0
0	0	0	0	05D01137	0
0	0	0	0	05D01138	0
0	0	0	0	05D01139	0
0	0	0	0	05D01148	0
0	0	0	0	05D01152	0
0	0	0	0	05D01169	0
0	0	0	0	05D01170	0
0	0	0	0	05D01171	0
0	0	0	0	05D01172	0
0	0	0	0	05D01173	0
0	0	0	0	05D01175	0
0	0	0	0	05D01178	0
0	0	0	0	05D01179	0
0	0	0	1	05D01181	0
0	0	0	0	05D01182	0
0	0	0	1	05D01202	0
0	0	0	0	05D01203	0
0	0	0	0	05D01204	0
0	0	0	0	05D01214	0
0	0	0	0	05D01215	0
0	0	0	0	05D01216	0
0	0	0	0	05D01217	0
0	0	0	1	05D01219	0
0	0	0	0	05D01222	0
0	0	0	0	05D01228	0
0	0	0	0	05D01229	0
0	0	0	0	05D01233	0
0	0	0	0	05D01235	0
0	0	0	0	05D01236	0
0	0	0	0	05D01240	0
0	0	0	0	05D01241	0
0	0	0	1	05D01254	0
0	0	0	0	05D01255	0
0	0	0	0	05D01257	0
0	0	0	0	05D01258	0
0	0	0	0	05D01265	0
0	0	0	0	05D01266	0
0	0	0	0	05D01282	0
0	0	0	0	05D01283	0
0	0	0	0	05D01284	0
0	0	0	0	05D01399	0
0	0	0	0	05D01400	0
0	0	0	0	05D01402	0
0	0	0	0	05D01403	0
0	0	0	0	05D01404	0
0	0	0	0	05D01406	0
0	0	0	0	05D01407	0
0	0	0	0	05D01419	0
0	0	0	0	05D01420	0
0	0	0	0	05D01429	0
0	0	0	0	05D01430	0
0	0	0	0	05D01434	0
0	0	0	0	05D01435	0
0	0	0	0	05D01446	0
0	0	0	0	05D01448	0
0	0	0	0	05D01450	0
0	0	0	1	05D01451	0
0	0	0	0	05D01452	0
0	0	0	0	05D01455	0
0	0	0	0	05D01456	0
0	0	0	0	05D01458	0
0	0	0	0	05D01459	0
0	0	0	0	05D01461	0
0	0	0	0	05D01464	0
0	0	0	0	05D01465	0
0	0	0	1	05D01480	0
0	0	0	0	05D01481	0
0	0	0	0	05D01482	0
0	0	0	0	05D01483	0
0	0	0	0	05D01487	0
0	0	0	0	05D01491	0
0	0	0	1	05D01492	0
0	0	0	0	05D01495	0
0	0	0	0	05D01497	0
0	0	0	0	05D01502	0
0	0	0	0	05D01503	0
0	0	0	0	05D01506	0
0	0	0	0	05D01510	0
0	0	0	0	05D01514	0
0	0	0	0	05D01515	0
0	0	0	0	05D01518	0
0	0	0	0	05D01519	0
0	0	0	0	05D01526	0
0	0	0	0	05D01527	0
0	0	0	0	05D01529	0
0	0	0	0	05D01550	0
0	0	0	0	05D01551	0
0	0	0	1	05D01556	0
0	0	0	0	05D01560	0
0	0	0	0	05D01561	0
0	0	0	1	05D01563	0
0	0	0	0	05D01566	0
0	0	0	0	05D01569	0
0	0	0	0	05D01570	0
0	0	0	0	05D01587	0
0	0	0	0	05D01601	0
0	0	0	0	05D01615	0
0	0	0	0	05D01618	0
0	0	0	0	05D02045	0
0	0	0	0	05D02046	0
0	0	0	0	05D02048	0
0	0	0	0	05D02051	0
0	0	0	0	05D02058	0
0	0	0	1	05D02060	0
0	0	0	0	05D02061	0
0	0	0	0	05D02065	0
0	0	0	0	05D02088	0
0	0	0	0	05D02089	0
0	0	0	0	05D02090	0
0	0	0	0	05D02096	0
0	0	0	0	05D02099	0
0	0	0	0	05D02100	0
0	0	0	0	05D02109	0
0	0	0	0	05D02111	0
0	0	0	0	05D02112	0
0	0	0	0	05D02113	0
0	0	0	0	05D02115	0
0	0	0	2	05D02121	0
0	0	0	0	05D02124	0
0	0	0	0	05D02128	0
0	0	0	0	05D02129	0
0	0	0	0	05D02130	0
0	0	0	NA	05D02132	0
0	0	0	0	05D02133	0
0	0	0	0	05D02149	0
0	0	0	0	05D02154	0
0	0	0	0	05D02155	0
0	0	0	0	05D02166	0
0	0	0	0	05D02167	0
0	0	0	0	05D02168	0
0	0	0	0	05D02169	0
0	0	0	1	05D02172	0
0	0	0	0	05D02174	0
0	0	0	0	05D02175	0
0	0	0	0	05D02185	0
0	0	0	0	05D02193	0
0	0	0	0	05D02194	0
0	0	0	NA	05D02195	0
0	0	0	0	05D02197	0
0	0	0	0	05D02232	0
0	0	0	0	05D02233	0
0	0	0	0	05D02234	0
0	0	0	0	05D02235	0
0	0	0	0	05D02236	0
0	0	0	0	05D02237	0
0	0	0	0	05D02238	0
0	0	0	0	05D02239	0
0	0	0	0	05D02244	0
0	0	0	0	05D02246	0
0	0	0	0	05D02263	0
0	0	0	0	05D02264	0
0	0	0	0	05D02270	0
0	0	0	1	05D02271	0
0	0	0	1	05D02272	0
0	0	0	NA	05D02273	0
0	0	0	0	05D02276	0
0	0	0	0	05D02277	0
0	0	0	0	05D02285	0
0	0	0	0	05D02288	0
0	0	0	0	05D02289	0
0	0	0	0	05D02290	0
0	0	0	0	05D02295	0
0	0	0	0	05D02298	0
0	0	0	0	05D02304	0
0	0	0	0	05D02306	0
0	0	0	1	05D02312	0
0	0	0	0	05D02315	0
0	0	0	1	05D02319	0
0	0	0	0	05D02320	0
0	0	0	0	05D02321	0
0	0	0	0	05D02322	0
0	0	0	0	05D02325	0
0	0	0	0	05D02326	0
0	0	0	0	05D02327	0
0	0	0	0	05D02329	0
0	0	0	0	05D02330	0
0	0	0	0	05D02332	0
0	0	0	0	05D02333	0
0	0	0	0	05D02335	0
0	0	0	0	05D02400	0
0	0	0	0	05D02405	0
0	0	0	0	05D02413	0
0	0	0	0	05D02414	0
0	0	0	0	05D02416	0
0	0	0	0	05D02417	0
0	0	0	0	05D02425	0
0	0	0	0	05D02426	0
0	0	0	0	05D02427	0
0	0	0	0	05D02428	0
0	0	0	0	05D02429	0
0	0	0	0	05D02440	0
0	0	0	1	05D02441	0
0	0	0	0	05D02443	0
0	0	0	0	05D02444	0
0	0	0	0	05D02450	0
0	0	0	0	05D02451	0
0	0	0	2	05D02453	0
0	0	0	0	05D02456	0
0	0	0	0	05D02466	0
0	0	0	0	05D02467	0
0	0	0	0	05D02480	0
0	0	0	0	05D02481	0
0	0	0	0	05D02482	0
0	0	0	0	05D02483	0
0	0	0	0	05D02486	0
0	0	0	0	05D02614	0
0	0	0	0	05D02615	0
0	0	0	0	05D02616	0
0	0	0	0	05D02629	0
0	0	0	0	05D02630	0
0	0	0	0	05D02632	0
0	0	0	0	05D02634	0
0	0	0	0	05D02635	0
0	0	0	0	05D02644	0
0	0	0	1	05D02646	0
0	0	0	NA	05D02653	0
0	0	0	0	05D02654	0
0	0	0	0	05D02655	0
0	0	0	1	05D02656	0
0	0	0	0	05D02675	0
0	0	0	1	05D02679	0
0	0	0	0	05D02681	0
0	0	0	0	05D02683	0
0	0	0	0	05D02695	0
0	0	0	0	05D02702	0
0	0	0	0	05D02704	0
0	0	0	0	05D02706	0
0	0	0	0	05D02707	0
0	0	0	0	05D02708	0
0	0	0	1	05D02709	0
0	0	0	0	05D02711	0
0	0	0	0	05D02714	0
0	0	0	0	05D02715	0
0	0	0	0	05D02716	0
0	0	0	0	05D02725	0
0	0	0	0	05D02726	0
0	0	0	0	05D02729	0
0	0	0	0	05D02741	0
0	0	0	0	05D02742	0
0	0	0	0	05D02744	0
0	0	0	0	05D02745	0
0	0	0	0	05D02748	0
0	0	0	0	05D02750	0
0	0	0	0	05D02751	0
0	0	0	0	05D02752	0
0	0	0	0	05D02754	0
0	0	0	1	05D02758	0
0	0	0	0	05D02759	0
0	0	0	0	05D02765	0
0	0	0	0	05D02766	0
0	0	0	0	05D02768	0
0	0	0	0	05D02778	0
0	0	0	0	05D02779	0
0	0	0	0	05D02780	0
0	0	0	0	05D02781	0
0	0	0	0	05D02782	0
0	0	0	0	05D02783	0
0	0	0	1	05D02785	0
0	0	0	1	05D02786	0
0	0	0	0	05D02791	0
0	0	0	0	05D02792	0
0	0	0	0	05D02794	0
0	0	0	0	05D02799	0
0	0	0	1	05D02928	0
0	0	0	0	05D02929	0
0	0	0	0	05D02930	0
0	0	0	1	05D02935	0
0	0	0	0	05D02938	0
0	0	0	0	05D02939	0
0	0	0	0	05D02940	0
0	0	0	0	05D02941	0
0	0	0	0	05D02942	0
0	0	0	0	05D02943	0
0	0	0	1	05D02949	0
0	0	0	0	05D02953	0
0	0	0	0	05D02954	0
0	0	0	0	05D02955	0
0	0	0	1	05D02958	0
0	0	0	0	05D02970	0
0	0	0	0	05D02971	0
0	0	0	0	05D02973	0
0	0	0	0	05D02980	0
0	0	0	0	05D02981	0
0	0	0	0	05D02984	0
0	0	0	0	05D02985	0
0	0	0	0	05D02987	0
0	0	0	0	05D02988	0
0	0	0	0	05D02989	0
0	0	0	1	05D02990	0
0	0	0	0	05D03007	0
0	0	0	0	05D03008	0
0	0	0	1	05D03009	0
0	0	0	0	05D03010	0
0	0	0	0	05D03011	0
0	0	0	0	05D03013	0
0	0	0	0	05D03015	0
0	0	0	0	05D03016	0
0	0	0	0	05D03017	0
0	0	0	0	05D03024	0
0	0	0	0	05D03025	0
0	0	0	0	05D03026	0
0	0	0	0	05D03027	0
0	0	0	0	05D03029	0
0	0	0	0	05D03033	0
0	0	0	0	05D03041	0
0	0	0	1	05D03042	0
0	0	0	0	05D03043	0
0	0	0	0	05D03049	0
0	0	0	0	05D03052	0
0	0	0	0	05D03144	0
0	0	0	0	05D03147	0
0	0	0	0	05D03148	0
0	0	0	0	05D03152	0
0	0	0	0	05D03153	0
0	0	0	1	05D03161	0
0	0	0	0	05D03162	0
0	0	0	0	05D03163	0
0	0	0	0	05D03164	0
0	0	0	0	05D03165	0
0	0	0	0	05D03168	0
0	0	0	0	05D03171	0
0	0	0	0	05D03176	0
0	0	0	0	05D03177	0
0	0	0	0	05D03178	0
0	0	0	0	05D03180	0
0	0	0	0	05D03181	0
0	0	0	1	05D03182	0
0	0	0	0	05D03187	0
0	0	0	0	05D03188	0
0	0	0	0	05D03189	0
0	0	0	0	05D03190	0
0	0	0	0	05D03192	0
0	0	0	0	05D03193	0
0	0	0	0	05D03194	0
0	0	0	0	05D03200	0
0	0	0	1	05D03201	0
0	0	0	0	05D03202	0
0	0	0	0	05D03204	0
0	0	0	0	05D03205	0
0	0	0	1	05D03209	0
0	0	0	0	05D03215	0
0	0	0	0	05D03216	0
0	0	0	0	05D03217	0
0	0	0	0	05D03223	0
0	0	0	0	05D03224	0
0	0	0	1	05D03225	0
0	0	0	0	05D03226	0
0	0	0	0	05D03227	0
0	0	0	0	05D03243	0
0	0	0	1	05D03244	0
0	0	0	0	05D03245	0
0	0	0	0	05D03252	0
0	0	0	0	05D03253	0
0	0	0	0	05D03254	0
0	0	0	0	05D03255	0
0	0	0	0	05D03257	0
0	0	0	0	05D03259	0
0	0	0	0	05D03267	0
0	0	0	0	05D03268	0
0	0	0	0	05D03330	0
0	0	0	0	05D03337	0
0	0	0	0	05D03338	0
0	0	0	0	05D03340	0
0	0	0	0	05D03342	0
0	0	0	0	05D03345	0
0	0	0	0	05D03348	0
0	0	0	0	05D03351	0
0	0	0	0	05D03352	0
0	0	0	0	05D03354	0
0	0	0	0	05D03357	0
0	0	0	0	05D03370	0
0	0	0	0	05D03371	0
0	0	0	0	05D03373	0
0	0	0	0	05D03382	0
0	0	0	0	05D03386	0
0	0	0	1	05D03397	0
0	0	0	0	05D03398	0
0	0	0	1	05D03399	0
0	0	0	0	05D03400	0
0	0	0	1	05D03402	0
0	0	0	0	05D03403	0
0	0	0	0	05D03405	0
0	0	0	1	05D03406	0
0	0	0	0	05D03408	0
0	0	0	0	05D03413	0
0	0	0	0	05D03415	0
0	0	0	0	05D03416	0
0	0	0	0	05D03417	0
0	0	0	1	05D03418	0
0	0	0	0	05D03421	0
0	0	0	0	05D03422	0
0	0	0	0	05D03428	0
0	0	0	0	05D03430	0
0	0	0	0	05D03431	0
0	0	0	0	05D03440	0
0	0	0	0	05D03441	0
0	0	0	0	05D03442	0
0	0	0	0	05D03444	0
0	0	0	0	05D03457	0
0	0	0	0	05D03458	0
0	0	0	0	05D03459	0
0	0	0	0	05D03460	0
0	0	0	0	05D03461	0
0	0	0	0	05D03463	0
0	0	0	0	05D03464	0
0	0	0	0	05D03465	0
0	0	0	0	05D03466	0
0	0	0	0	05D03471	0
0	0	0	0	05D03472	0
0	0	0	0	05D03473	0
0	0	0	1	05D03474	0
0	0	0	0	05D03478	0
0	0	0	0	05D03483	0
0	0	0	0	05D03488	0
0	0	0	0	05D03489	0
0	0	0	0	05D03490	0
0	0	0	0	05D03492	0
0	0	0	0	05D03493	0
0	0	0	0	05D03494	0
0	0	0	1	05D03496	0
0	0	0	0	05D03497	0
0	0	0	0	05D03498	0
0	0	0	0	05D03504	0
0	0	0	0	05D03505	0
0	0	0	0	05D03506	0
0	0	0	0	05D03512	0
0	0	0	0	05D03513	0
0	0	0	0	05D03527	0
0	0	0	0	05D03528	0
0	0	0	0	05D03530	0
0	0	0	0	05D03531	0
0	0	0	0	05D03533	0
0	0	0	0	05D03537	0
0	0	0	0	05D03541	0
0	0	0	0	05D03545	0
0	0	0	0	05D03547	0
0	0	0	0	05D03548	0
0	0	0	0	05D03553	0
0	0	0	NA	05D04310	0
0	0	0	0	05D04314	0
0	0	0	0	05D04319	0
0	0	0	0	05D04320	0
0	0	0	0	05D04324	0
0	0	0	0	05D04325	0
0	0	0	0	05D04326	0
0	0	0	0	05D04345	0
0	0	0	0	05D04351	0
0	0	0	0	05D04353	0
0	0	0	0	05D04354	0
0	0	0	0	05D04355	0
0	0	0	0	05D04357	0
0	0	0	0	05D04358	0
0	0	0	0	05D04370	0
0	0	0	0	05D04372	0
0	0	0	1	05D04373	0
0	0	0	1	05D04378	0
0	0	0	0	05D04379	0
0	0	0	0	05D04380	0
0	0	0	0	05D04385	0
0	0	0	0	05D04765	0
0	0	0	1	05D04769	0
0	0	0	0	05D04771	0
0	0	0	0	05D04772	0
0	0	0	0	05D04783	0
0	0	0	0	05D04784	0
0	0	0	0	05D04786	0
0	0	0	1	05D04791	0
0	0	0	0	05D04792	0
0	0	0	0	05D04794	0
0	0	0	0	05D04796	0
0	0	0	0	05D04797	0
0	0	0	1	05D04798	0
0	0	0	0	05D04822	0
0	0	0	0	05D04824	0
0	0	0	0	05D04827	0
0	0	0	0	05D04830	0
0	0	0	1	05D04840	0
0	0	0	0	05D04841	0
0	0	0	0	05D04843	0
0	0	0	0	05D04849	0
0	0	0	0	05D04859	0
0	0	0	0	05D04865	0
0	0	0	0	05D04868	0
0	0	0	0	05D04869	0
0	0	0	0	05D04870	0
0	0	0	0	05D04889	0
0	0	0	0	05D04893	0
0	0	0	0	05D04894	0
0	0	0	0	05D04895	0
0	0	0	0	05D04896	0
0	0	0	0	05D04902	0
0	0	0	0	05D04912	0
0	0	0	0	05D04914	0
0	0	0	0	05D04916	0
0	0	0	1	05D04917	0
0	0	0	0	05D04921	0
0	0	0	0	05D04923	0
0	0	0	0	05D04930	0
0	0	0	0	05D04933	0
0	0	0	0	05D05291	0
0	0	0	1	05D05292	0
0	0	0	0	05D05293	0
0	0	0	1	05D05294	0
0	0	0	0	05D05295	0
0	0	0	0	05D05297	0
0	0	0	0	05D05298	0
0	0	0	0	05D05301	0
0	0	0	0	05D05304	0
0	0	0	0	05D05318	0
0	0	0	0	05D05327	0
0	0	0	0	05D05331	0
0	0	0	0	05D05332	0
0	0	0	0	05D05333	0
0	0	0	0	05D05351	0
0	0	0	0	05D05355	0
0	0	0	1	05D05357	0
0	0	0	0	05D05358	0
0	0	0	0	05D05361	0
0	0	0	1	05D05371	0
0	0	0	0	05D05373	0
0	0	0	0	05D05374	0
0	0	0	0	05D05375	0
0	0	0	0	05D05376	0
0	0	0	0	05D05393	0
0	0	0	0	05D05397	0
0	0	0	0	05D05412	0
0	0	0	0	05D05414	0
0	0	0	0	05D05415	0
0	0	0	0	05D05416	0
0	0	0	0	05D05417	0
0	0	0	0	05D05418	0
0	0	0	0	05D05419	0
0	0	0	0	05D05420	0
0	0	0	0	05D05423	0
0	0	0	1	05D05432	0
0	0	0	0	05D05433	0
0	0	0	0	05D05435	0
0	0	0	0	05D05444	0
0	0	0	0	05D05445	0
0	0	0	1	05D05446	0
0	0	0	0	05D05447	0
0	0	0	0	05D05448	0
0	0	0	0	05D05449	0
0	0	0	0	05D05452	0
0	0	0	0	05D05454	0
0	0	0	0	05D10200	0
0	0	0	0	06D00001	0
0	0	0	0	06D00002	0
0	0	0	0	06D00003	0
0	0	0	0	06D00019	0
0	0	0	0	06D00020	0
0	0	0	0	06D00021	0
0	0	0	0	06D00022	0
0	0	0	0	06D00032	0
0	0	0	1	06D00033	0
0	0	0	0	06D00034	0
0	0	0	0	06D00035	0
0	0	0	0	06D00036	0
0	0	0	0	06D00037	0
0	0	0	0	06D00040	0
0	0	0	0	06D00050	0
0	0	0	0	06D00051	0
0	0	0	0	06D00052	0
0	0	0	0	06D00053	0
0	0	0	0	06D00054	0
0	0	0	0	06D00061	0
0	0	0	0	06D00064	0
0	0	0	0	06D00068	0
0	0	0	0	06D00069	0
0	0	0	0	06D00075	0
0	0	0	0	06D00076	0
0	0	0	0	06D00083	0
0	0	0	0	06D00084	0
0	0	0	1	06D00085	0
0	0	0	0	06D00087	0
0	0	0	0	06D00088	0
0	0	0	0	06D00089	0
0	0	0	0	06D00090	0
0	0	0	0	06D00091	0
0	0	0	1	06D00147	0
0	0	0	0	06D00148	0
0	0	0	0	06D00151	0
0	0	0	0	06D00152	0
0	0	0	0	06D00160	0
0	0	0	0	06D00161	0
0	0	0	0	06D00165	0
0	0	0	0	06D00166	0
0	0	0	0	06D00169	0
0	0	0	0	06D00170	0
0	0	0	0	06D00171	0
0	0	0	1	06D00172	0
0	0	0	0	06D00247	0
0	0	0	0	06D00248	0
0	0	0	0	06D00250	0
0	0	0	0	06D00251	0
0	0	0	1	06D00253	0
0	0	0	0	06D00256	0
0	0	0	1	06D00259	0
0	0	0	0	06D00260	0
0	0	0	0	06D00261	0
0	0	0	0	06D00264	0
0	0	0	0	06D00265	0
0	0	0	0	06D00266	0
0	0	0	NA	06D00279	0
0	0	0	1	06D00280	0
0	0	0	0	06D00286	0
0	0	0	0	06D00287	0
0	0	0	0	06D00295	0
0	0	0	0	06D00303	0
0	0	0	0	06D00304	0
0	0	0	0	06D00305	0
0	0	0	0	06D00308	0
0	0	0	0	06D00309	0
0	0	0	0	06D00310	0
0	0	0	0	06D00311	0
0	0	0	0	06D00312	0
0	0	0	0	06D00313	0
0	0	0	0	06D00316	0
0	0	0	0	06D00318	0
0	0	0	0	06D00327	0
0	0	0	0	06D00328	0
0	0	0	0	06D00334	0
0	0	0	0	06D00335	0
0	0	0	0	06D00337	0
0	0	0	0	06D00340	0
0	0	0	0	06D00341	0
0	0	0	0	06D00343	0
0	0	0	0	06D00357	0
0	0	0	0	06D00358	0
0	0	0	0	06D00359	0
0	0	0	0	06D00360	0
0	0	0	1	06D00364	0
0	0	0	0	06D00365	0
0	0	0	0	06D00366	0
0	0	0	0	06D00367	0
0	0	0	0	06D00368	0
0	0	0	0	06D00379	0
0	0	0	0	06D00387	0
0	0	0	0	06D00388	0
0	0	0	1	06D00389	0
0	0	0	0	06D00390	0
0	0	0	0	06D00391	0
0	0	0	0	06D00394	0
0	0	0	0	06D00395	0
0	0	0	0	06D00398	0
0	0	0	0	06D00399	0
0	0	0	0	06D00402	0
0	0	0	0	06D00406	0
0	0	0	0	06D00407	0
0	0	0	0	06D00409	0
0	0	0	0	06D00415	0
0	0	0	0	06D00417	0
0	0	0	0	06D00419	0
0	0	0	0	06D00420	0
0	0	0	1	06D00421	0
0	0	0	0	06D00423	0
0	0	0	0	06D00424	0
0	0	0	0	06D00430	0
0	0	0	0	06D00431	0
0	0	0	0	06D00432	0
0	0	0	0	06D00433	0
0	0	0	0	06D01063	0
0	0	0	0	06D01071	0
0	0	0	0	06D01072	0
0	0	0	0	06D01078	0
0	0	0	0	06D01079	0
0	0	0	0	06D01080	0
0	0	0	0	06D01081	0
0	0	0	0	06D01085	0
0	0	0	0	06D01086	0
0	0	0	1	06D01087	0
0	0	0	1	06D01088	0
0	0	0	0	06D01089	0
0	0	0	NA	06D01092	0
0	0	0	0	06D01093	0
0	0	0	0	06D01094	0
0	0	0	0	06D01095	0
0	0	0	0	06D01109	0
0	0	0	0	06D01112	0
0	0	0	0	06D01115	0
0	0	0	0	06D01120	0
0	0	0	0	06D01132	0
0	0	0	0	06D01133	0
0	0	0	0	06D01135	0
0	0	0	0	06D01146	0
0	0	0	0	06D01147	0
0	0	0	0	06D01148	0
0	0	0	0	06D01149	0
0	0	0	0	06D01153	0
0	0	0	1	06D01155	0
0	0	0	0	06D01163	0
0	0	0	0	06D01167	0
0	0	0	0	06D01168	0
0	0	0	0	06D01170	0
0	0	0	0	06D01172	0
0	0	0	0	06D01173	0
0	0	0	0	06D01176	0
0	0	0	0	06D01177	0
0	0	0	0	06D01178	0
0	0	0	0	06D01179	0
0	0	0	0	06D01180	0
0	0	0	0	06D01183	0
0	0	0	0	06D01184	0
0	0	0	0	06D01205	0
0	0	0	1	06D01207	0
0	0	0	0	06D01217	0
0	0	0	0	06D01218	0
0	0	0	1	06D01226	0
0	0	0	0	06D01228	0
0	0	0	0	06D01230	0
0	0	0	0	06D01231	0
0	0	0	0	06D01240	0
0	0	0	0	06D01241	0
0	0	0	0	06D01242	0
0	0	0	0	06D01244	0
0	0	0	0	06D01251	0
0	0	0	0	06D01504	0
0	0	0	0	06D01506	0
0	0	0	0	06D01514	0
0	0	0	0	06D01520	0
0	0	0	0	06D01521	0
0	0	0	0	06D01527	0
0	0	0	0	06D01531	0
0	0	0	0	06D01541	0
0	0	0	0	06D01542	0
0	0	0	0	06D01543	0
0	0	0	1	06D01550	0
0	0	0	0	06D01556	0
0	0	0	1	06D01557	0
0	0	0	0	06D01560	0
0	0	0	0	06D01577	0
0	0	0	0	06D01578	0
0	0	0	0	06D01579	0
0	0	0	0	06D01580	0
0	0	0	0	06D01586	0
0	0	0	0	06D01587	0
0	0	0	0	06D01588	0
0	0	0	0	06D01589	0
0	0	0	0	06D01590	0
0	0	0	0	06D01594	0
0	0	0	0	06D01595	0
0	0	0	0	06D01597	0
0	0	0	0	06D01599	0
0	0	0	1	06D01600	0
0	0	0	0	06D01601	0
0	0	0	0	06D01602	0
0	0	0	1	06D01607	0
0	0	0	0	06D01608	0
