cov	env	indid
2	0	per1230
1	0	per1231
1	0	per1232
1	1	per1233
1	1	per1234
1	1	per1235
1	0	per1236
2	1	per1237
2	1	per1238
1	0	per1239
2	1	per124
1	0	per1240
0	1	per1241
1	0	per1242
1	0	per1243
0	1	per1244
1	1	per1245
1	0	per1246
1	1	per1247
1	0	per1248
0	1	per1249
1	1	per125
0	0	per1250
1	1	per1251
2	1	per1252
1	0	per1253
1	0	per1254
0	0	per1255
0	0	per1256
0	1	per1257
1	0	per1258
1	1	per1259
2	1	per126
1	1	per1260
0	0	per1261
1	0	per1262
1	0	per1263
0	1	per1264
0	1	per1265
2	1	per1266
0	0	per1267
2	1	per1268
1	0	per1269
1	1	per127
0	0	per1270
1	0	per1271
1	1	per1272
2	1	per1273
1	0	per1274
0	0	per1275
1	0	per1276
1	0	per1277
0	1	per1278
1	1	per1279
1	1	per128
0	1	per1280
1	0	per1281
1	0	per1282
1	0	per1283
2	0	per1284
1	1	per1285
2	0	per1286
1	1	per1287
2	1	per1288
0	1	per1289
1	0	per129
1	0	per1290
2	0	per1291
1	0	per1292
1	0	per1293
1	1	per1294
1	0	per1295
1	1	per1296
2	1	per1297
1	0	per1298
2	1	per1299
0	0	per13
1	1	per130
2	1	per1300
1	0	per1301
0	0	per1302
0	0	per1303
0	1	per1304
0	0	per1305
0	0	per1306
0	0	per1307
1	0	per1308
1	1	per1309
1	1	per131
1	0	per1310
1	1	per1311
0	0	per1312
2	1	per1313
1	1	per1314
1	0	per1315
1	1	per1316
1	1	per1317
2	0	per1318
1	0	per1319
2	1	per132
2	0	per1320
1	1	per1321
2	1	per1322
0	0	per1323
0	0	per1324
1	0	per1325
1	1	per1326
1	1	per1327
0	0	per1328
1	0	per1329
1	1	per133
1	1	per1330
1	0	per1331
0	1	per1332
1	1	per1333
1	0	per1334
2	1	per1335
1	0	per1336
1	1	per1337
0	1	per1338
1	0	per1339
2	0	per134
1	1	per1340
0	0	per1341
1	1	per1342
0	0	per1343
1	1	per1344
1	1	per1345
1	0	per1346
1	1	per1347
1	0	per1348
1	0	per1349
2	1	per135
2	0	per1350
1	1	per1351
1	0	per1352
2	0	per1353
2	1	per1354
1	1	per1355
1	0	per1356
1	1	per1357
1	0	per1358
1	1	per1359
0	1	per136
1	1	per1360
1	1	per1361
2	0	per1362
0	1	per1363
0	1	per1364
2	0	per1365
1	0	per1366
1	1	per1367
2	1	per1368
2	0	per1369
1	1	per137
1	0	per1370
1	0	per1371
1	1	per1372
2	0	per1373
2	0	per1374
2	0	per1375
1	1	per1376
1	1	per1377
1	0	per1378
1	0	per1379
1	1	per138
2	1	per1380
2	0	per1381
0	0	per1382
0	1	per1383
0	1	per1384
1	1	per1385
1	1	per1386
1	0	per1387
2	0	per1388
2	1	per1389
1	1	per139
0	1	per1390
1	0	per1391
2	1	per1392
1	1	per1393
0	0	per1394
1	1	per1395
1	1	per1396
1	1	per1397
1	1	per1398
0	0	per1399
2	0	per14
1	1	per140
1	1	per1400
2	1	per1401
1	0	per1402
1	0	per1403
0	0	per1404
0	0	per1405
1	0	per1406
2	1	per1407
1	1	per1408
1	0	per1409
2	0	per141
1	1	per1410
1	0	per1411
1	0	per1412
2	1	per1413
2	1	per1414
1	1	per1415
1	0	per1416
1	0	per1417
0	1	per1418
0	0	per1419
1	0	per142
1	0	per1420
2	1	per1421
0	0	per1422
2	0	per1423
2	0	per1424
1	0	per1425
1	0	per1426
1	0	per1427
0	0	per1428
2	1	per1429
1	0	per143
1	1	per1430
2	0	per1431
1	1	per1432
0	1	per1433
1	0	per1434
2	1	per1435
0	0	per1436
0	0	per1437
1	0	per1438
2	0	per1439
2	1	per144
0	1	per1440
1	1	per1441
1	0	per1442
2	1	per1443
0	1	per1444
1	1	per1445
1	0	per1446
1	1	per1447
2	0	per1448
0	1	per1449
1	0	per145
0	1	per1450
1	0	per1451
0	1	per1452
2	0	per1453
1	1	per1454
1	0	per1455
0	0	per1456
0	0	per1457
1	1	per1458
1	0	per1459
1	1	per146
0	1	per1460
2	0	per1461
1	1	per1462
2	0	per1463
0	0	per1464
0	0	per1465
1	0	per1466
1	1	per1467
1	0	per1468
2	1	per1469
1	0	per147
1	0	per1470
0	1	per1471
1	1	per1472
0	0	per1473
1	0	per1474
1	1	per1475
2	1	per1476
1	0	per1477
1	1	per1478
0	1	per1479
1	0	per148
0	0	per1480
2	0	per1481
2	1	per1482
2	0	per1483
1	0	per1484
2	0	per1485
0	1	per1486
0	0	per1487
0	0	per1488
1	1	per1489
0	0	per149
2	0	per1490
1	0	per1491
1	0	per1492
2	0	per1493
1	1	per1494
1	0	per1495
1	1	per1496
1	0	per1497
1	1	per1498
1	0	per1499
1	0	per15
0	0	per150
1	0	per1500
2	1	per1501
2	0	per1502
1	0	per1503
1	0	per1504
1	0	per1505
0	0	per1506
1	1	per1507
0	0	per1508
0	0	per1509
0	1	per151
1	1	per1510
0	0	per1511
1	1	per1512
1	1	per1513
0	0	per1514
1	0	per1515
0	1	per1516
1	0	per1517
1	0	per1518
1	0	per1519
0	1	per152
0	0	per1520
2	1	per1521
1	1	per1522
1	1	per1523
1	1	per1524
1	0	per1525
0	1	per1526
0	0	per1527
0	1	per1528
0	0	per1529
2	1	per153
1	0	per1530
0	1	per1531
0	1	per1532
0	1	per1533
2	1	per1534
0	0	per1535
1	1	per1536
1	0	per1537
0	1	per1538
1	0	per1539
1	1	per154
0	1	per1540
1	1	per1541
0	1	per1542
1	1	per1543
0	0	per1544
2	1	per1545
2	0	per1546
0	0	per1547
1	0	per1548
2	0	per1549
2	0	per155
0	0	per1550
1	1	per1551
0	0	per1552
0	0	per1553
1	0	per1554
1	0	per1555
0	0	per1556
1	0	per1557
1	0	per1558
1	0	per1559
0	1	per156
2	1	per1560
0	0	per1561
1	0	per1562
0	0	per1563
1	1	per1564
2	0	per1565
0	0	per1566
1	1	per1567
1	1	per1568
2	0	per1569
0	0	per157
1	0	per1570
2	1	per1571
2	1	per1572
2	0	per1573
2	0	per1574
1	0	per1575
2	0	per1576
0	1	per1577
2	1	per1578
2	1	per1579
0	0	per158
1	1	per1580
1	1	per1581
0	0	per1582
1	0	per1583
1	1	per1584
2	0	per1585
1	1	per1586
2	1	per1587
1	0	per1588
2	0	per1589
1	0	per159
1	1	per1590
1	0	per1591
0	0	per1592
1	0	per1593
2	1	per1594
1	0	per1595
0	0	per1596
1	0	per1597
2	0	per1598
1	1	per1599
2	1	per16
1	1	per160
1	1	per1600
0	1	per1601
1	0	per1602
2	0	per1603
2	1	per1604
1	1	per1605
1	0	per1606
2	0	per1607
1	0	per1608
1	0	per1609
1	0	per161
0	1	per1610
0	0	per1611
1	1	per1612
0	0	per1613
1	1	per1614
1	0	per1615
0	1	per1616
2	0	per1617
0	0	per1618
2	1	per1619
0	0	per162
1	0	per1620
1	1	per1621
0	1	per1622
1	0	per1623
0	1	per1624
1	0	per1625
0	0	per1626
2	0	per1627
1	0	per1628
2	0	per1629
2	0	per163
1	0	per1630
2	0	per1631
2	1	per1632
2	0	per1633
2	1	per1634
2	1	per1635
1	0	per1636
1	1	per1637
2	1	per1638
1	0	per1639
1	1	per164
0	0	per1640
2	0	per1641
2	0	per1642
1	0	per1643
0	0	per1644
1	1	per1645
1	0	per1646
2	0	per1647
1	0	per1648
1	1	per1649
1	0	per165
0	0	per1650
0	1	per1651
1	1	per1652
1	0	per1653
1	1	per1654
2	1	per1655
2	1	per1656
1	1	per1657
1	1	per1658
1	1	per1659
1	1	per166
2	1	per1660
1	1	per1661
1	1	per1662
0	0	per1663
2	0	per1664
1	1	per1665
2	1	per1666
1	1	per1667
2	1	per1668
1	0	per1669
1	0	per167
0	0	per1670
1	0	per1671
2	0	per1672
2	0	per1673
1	0	per1674
0	1	per1675
1	0	per1676
0	0	per1677
1	0	per1678
0	0	per1679
1	1	per168
2	1	per1680
2	1	per1681
1	0	per1682
2	1	per1683
2	0	per1684
1	0	per1685
1	0	per1686
1	1	per1687
1	0	per1688
1	1	per1689
0	1	per169
1	1	per1690
1	1	per1691
1	1	per1692
0	0	per1693
1	1	per1694
1	0	per1695
2	0	per1696
1	1	per1697
0	1	per1698
1	1	per1699
1	0	per17
1	0	per170
1	1	per1700
0	0	per1701
1	1	per1702
1	1	per1703
1	1	per1704
2	0	per1705
1	1	per1706
1	0	per1707
1	0	per1708
0	0	per1709
2	1	per171
1	1	per1710
2	1	per1711
2	0	per1712
2	0	per1713
1	0	per1714
2	1	per1715
2	1	per1716
2	1	per1717
1	0	per1718
1	1	per1719
2	0	per172
1	1	per1720
0	0	per1721
1	1	per1722
1	0	per1723
1	0	per1724
0	1	per1725
0	1	per1726
2	0	per1727
2	1	per1728
2	1	per1729
1	0	per173
0	0	per1730
1	0	per1731
1	0	per1732
1	0	per1733
0	0	per1734
2	1	per1735
1	0	per1736
0	0	per1737
1	1	per1738
2	0	per1739
1	0	per174
2	1	per1740
1	0	per1741
1	1	per1742
1	1	per1743
0	0	per1744
1	0	per1745
1	1	per1746
1	0	per1747
0	1	per1748
1	0	per1749
2	0	per175
0	1	per1750
0	1	per1751
1	0	per1752
1	0	per1753
0	0	per1754
0	0	per1755
1	1	per1756
1	0	per1757
1	0	per1758
1	1	per1759
1	1	per176
1	0	per1760
1	1	per1761
1	1	per1762
0	0	per1763
0	0	per1764
1	1	per1765
0	1	per1766
2	1	per1767
1	0	per1768
1	0	per1769
1	0	per177
1	0	per1770
1	0	per1771
2	1	per1772
1	0	per1773
1	0	per1774
2	1	per1775
2	1	per1776
1	0	per1777
2	0	per1778
0	0	per1779
1	1	per178
1	0	per1780
0	1	per1781
1	1	per1782
2	1	per1783
2	0	per1784
0	0	per1785
2	0	per1786
1	1	per1787
0	0	per1788
1	1	per1789
0	1	per179
2	1	per1790
0	1	per1791
0	1	per1792
2	0	per1793
1	0	per1794
2	1	per1795
0	1	per1796
2	1	per1797
1	0	per1798
2	0	per1799
1	0	per18
0	0	per180
0	0	per1800
1	1	per1801
0	1	per1802
2	0	per1803
1	1	per1804
2	0	per1805
1	0	per1806
1	1	per1807
1	0	per1808
1	1	per1809
1	1	per181
1	1	per1810
0	0	per1811
2	0	per1812
1	0	per1813
0	0	per1814
1	0	per1815
1	1	per1816
1	1	per1817
1	0	per1818
1	1	per1819
1	0	per182
1	0	per1820
1	1	per1821
2	1	per1822
1	0	per1823
1	1	per1824
1	0	per1825
1	0	per1826
0	1	per1827
1	1	per1828
1	1	per1829
1	1	per183
2	1	per1830
2	1	per1831
1	1	per1832
1	1	per1833
0	0	per1834
1	0	per1835
1	1	per1836
0	0	per1837
1	1	per1838
1	0	per1839
2	0	per184
1	0	per1840
2	0	per1841
2	1	per1842
0	1	per1843
0	1	per1844
1	1	per1845
1	0	per1846
2	1	per1847
2	1	per1848
1	1	per1849
2	1	per185
0	0	per1850
0	0	per1851
2	1	per1852
1	0	per1853
2	1	per1854
0	0	per1855
1	0	per1856
1	1	per1857
0	1	per1858
1	1	per1859
1	1	per186
2	0	per1860
1	0	per1861
1	0	per1862
1	1	per1863
2	1	per1864
2	0	per1865
0	1	per1866
0	1	per1867
1	1	per1868
0	1	per1869
0	1	per187
1	1	per1870
1	0	per1871
0	0	per1872
1	0	per1873
0	1	per1874
1	0	per1875
0	1	per1876
1	1	per1877
0	1	per1878
2	0	per1879
1	0	per188
1	1	per1880
1	1	per1881
2	1	per1882
2	0	per1883
2	0	per1884
2	1	per1885
1	0	per1886
1	0	per1887
1	0	per1888
2	0	per1889
1	1	per189
1	1	per1890
1	0	per1891
1	1	per1892
2	0	per1893
1	0	per1894
0	1	per1895
2	1	per1896
1	0	per1897
1	0	per1898
0	1	per1899
1	0	per19
1	1	per190
1	0	per1900
0	0	per1901
1	1	per1902
0	0	per1903
0	1	per1904
1	0	per1905
0	0	per1906
1	0	per1907
1	1	per1908
1	1	per1909
1	0	per191
0	1	per1910
2	1	per1911
1	1	per1912
1	1	per1913
1	1	per1914
1	1	per1915
0	1	per1916
1	0	per1917
1	0	per1918
2	0	per1919
0	0	per192
2	0	per1920
1	1	per1921
0	1	per1922
2	0	per1923
2	0	per1924
2	1	per1925
2	1	per1926
1	1	per1927
0	0	per1928
0	0	per1929
1	0	per193
2	1	per1930
1	1	per1931
1	1	per1932
1	0	per1933
1	0	per1934
0	0	per1935
0	0	per1936
1	0	per1937
2	1	per1938
0	0	per1939
1	0	per194
1	0	per1940
0	1	per1941
1	1	per1942
2	1	per1943
1	0	per1944
0	1	per1945
1	0	per1946
0	1	per1947
2	1	per1948
2	1	per1949
1	0	per195
1	0	per1950
0	0	per1951
2	0	per1952
1	0	per1953
1	1	per1954
0	1	per1955
2	1	per1956
2	1	per1957
1	1	per1958
1	0	per1959
1	0	per196
0	0	per1960
1	1	per1961
2	0	per1962
1	0	per1963
0	1	per1964
1	1	per1965
1	0	per1966
1	1	per1967
0	1	per1968
0	1	per1969
1	1	per197
0	1	per1970
1	1	per1971
1	1	per1972
0	1	per1973
0	1	per1974
2	0	per1975
1	1	per1976
2	0	per1977
2	1	per1978
2	0	per1979
2	1	per198
1	1	per1980
1	1	per1981
0	0	per1982
2	1	per1983
2	1	per1984
2	1	per1985
2	0	per1986
1	1	per1987
0	1	per1988
1	0	per1989
2	1	per199
1	0	per1990
1	1	per1991
0	0	per1992
1	1	per1993
2	0	per1994
1	1	per1995
1	1	per1996
2	0	per1997
1	0	per1998
2	0	per1999
0	1	per2
2	1	per20
2	1	per200
0	0	per201
1	0	per202
1	1	per203
1	1	per204
1	1	per205
0	0	per206
2	1	per207
2	1	per208
1	1	per209
1	0	per21
1	1	per210
0	0	per211
1	0	per212
2	1	per213
0	0	per214
0	0	per215
2	0	per216
2	1	per217
1	0	per218
2	1	per219
1	1	per22
1	1	per220
0	0	per221
2	0	per222
1	0	per223
1	0	per224
2	1	per225
1	0	per226
1	1	per227
2	0	per228
2	0	per229
1	1	per23
2	0	per230
1	0	per231
1	1	per232
0	1	per233
2	1	per234
0	0	per235
1	0	per236
2	1	per237
0	1	per238
0	1	per239
0	1	per24
0	0	per240
2	0	per241
1	1	per242
1	0	per243
2	0	per244
0	1	per245
2	1	per246
0	0	per247
0	1	per248
1	1	per249
0	1	per25
2	1	per250
1	1	per251
1	1	per252
1	1	per253
2	0	per254
1	1	per255
1	1	per256
1	0	per257
2	0	per258
1	1	per259
1	1	per26
2	1	per260
0	1	per261
1	1	per262
1	0	per263
1	0	per264
1	1	per265
1	1	per266
0	1	per267
0	1	per268
2	0	per269
1	0	per27
1	1	per270
2	0	per271
1	0	per272
2	0	per273
1	0	per274
2	0	per275
1	1	per276
1	1	per277
0	0	per278
1	0	per279
1	0	per28
2	0	per280
0	0	per281
1	1	per282
0	0	per283
1	0	per284
1	0	per285
2	0	per286
2	1	per287
1	0	per288
1	1	per289
1	0	per29
1	1	per290
1	1	per291
2	1	per292
2	0	per293
0	1	per294
1	0	per295
2	0	per296
0	0	per297
2	0	per298
0	0	per299
0	1	per3
2	1	per30
2	1	per300
1	1	per301
0	1	per302
1	1	per303
1	1	per304
2	1	per305
0	1	per306
1	0	per307
2	0	per308
1	1	per309
1	1	per31
0	1	per310
2	0	per311
2	1	per312
1	1	per313
1	0	per314
0	1	per315
0	0	per316
1	1	per317
1	0	per318
1	0	per319
0	1	per32
1	1	per320
1	1	per321
2	1	per322
1	0	per323
0	0	per324
0	1	per325
2	0	per326
1	0	per327
1	1	per328
0	1	per329
2	1	per33
1	1	per330
2	0	per331
1	0	per332
0	1	per333
1	0	per334
1	1	per335
1	1	per336
2	1	per337
1	1	per338
1	1	per339
2	0	per34
2	0	per340
1	1	per341
2	0	per342
2	0	per343
1	0	per344
1	0	per345
1	0	per346
1	0	per347
0	0	per348
0	0	per349
1	0	per35
1	0	per350
0	1	per351
0	0	per352
0	1	per353
1	1	per354
2	1	per355
2	0	per356
1	0	per357
1	1	per358
0	1	per359
1	1	per36
0	0	per360
1	1	per361
1	0	per362
1	1	per363
1	1	per364
1	0	per365
2	0	per366
1	0	per367
2	0	per368
2	1	per369
1	1	per37
0	1	per370
1	1	per371
0	1	per372
1	1	per373
2	1	per374
0	1	per375
1	1	per376
1	1	per377
1	1	per378
0	0	per379
1	1	per38
1	1	per380
2	0	per381
1	1	per382
2	0	per383
1	1	per384
2	1	per385
1	0	per386
2	0	per387
1	1	per388
1	0	per389
2	0	per39
1	0	per390
0	1	per391
2	0	per392
1	1	per393
2	0	per394
2	1	per395
1	0	per396
2	0	per397
2	1	per398
1	1	per399
1	1	per4
1	1	per40
1	1	per400
1	0	per401
1	0	per402
1	1	per403
1	0	per404
1	1	per405
0	0	per406
0	0	per407
0	1	per408
1	1	per409
2	0	per41
2	1	per410
1	1	per411
1	0	per412
1	1	per413
1	0	per414
1	1	per415
1	0	per416
1	1	per417
1	1	per418
1	0	per419
1	1	per42
1	1	per420
1	0	per421
1	1	per422
0	1	per423
1	1	per424
1	1	per425
2	1	per426
1	0	per427
1	0	per428
0	0	per429
1	1	per43
1	1	per430
1	1	per431
2	1	per432
2	0	per433
2	0	per434
1	0	per435
2	0	per436
2	1	per437
0	0	per438
1	1	per439
2	0	per44
1	1	per440
1	1	per441
1	0	per442
1	1	per443
1	0	per444
2	0	per445
1	0	per446
0	1	per447
0	1	per448
1	0	per449
0	1	per45
0	1	per450
2	0	per451
1	1	per452
1	1	per453
1	1	per454
0	1	per455
1	1	per456
1	0	per457
0	0	per458
2	0	per459
1	0	per46
0	1	per460
2	1	per461
1	1	per462
1	0	per463
1	0	per464
0	0	per465
2	0	per466
0	0	per467
1	0	per468
1	1	per469
0	1	per47
2	1	per470
0	1	per471
2	1	per472
1	1	per473
1	1	per474
2	0	per475
1	0	per476
1	1	per477
1	0	per478
1	0	per479
2	1	per48
1	0	per480
1	1	per481
1	1	per482
0	1	per483
1	0	per484
2	1	per485
1	0	per486
2	1	per487
2	1	per488
0	0	per489
0	0	per49
1	0	per490
1	0	per491
2	0	per492
1	0	per493
1	0	per494
1	0	per495
1	0	per496
1	0	per497
1	0	per498
1	0	per499
1	0	per5
0	0	per50
1	1	per500
0	1	per501
1	1	per502
1	1	per503
1	1	per504
2	0	per505
1	0	per506
2	0	per507
2	0	per508
1	1	per509
1	1	per51
2	1	per510
0	0	per511
1	1	per512
2	0	per513
1	0	per514
2	1	per515
2	0	per516
1	0	per517
1	1	per518
1	0	per519
2	1	per52
1	0	per520
2	0	per521
2	0	per522
2	0	per523
1	1	per524
2	0	per525
2	0	per526
1	0	per527
0	1	per528
1	0	per529
0	0	per53
1	1	per530
1	1	per531
2	0	per532
1	0	per533
1	0	per534
0	1	per535
2	1	per536
1	0	per537
1	1	per538
1	0	per539
1	0	per54
1	1	per540
1	1	per541
1	0	per542
1	0	per543
1	0	per544
1	0	per545
2	1	per546
2	1	per547
1	1	per548
0	1	per549
1	1	per55
1	0	per550
1	0	per551
0	1	per552
1	1	per553
2	0	per554
2	1	per555
0	1	per556
1	1	per557
1	0	per558
1	1	per559
1	1	per56
1	0	per560
1	0	per561
1	1	per562
0	1	per563
0	1	per564
1	0	per565
2	1	per566
1	1	per567
0	1	per568
1	1	per569
1	0	per57
1	1	per570
1	1	per571
1	0	per572
1	0	per573
1	0	per574
2	0	per575
1	1	per576
1	1	per577
1	0	per578
0	1	per579
2	0	per58
0	0	per580
2	0	per581
1	1	per582
1	0	per583
0	0	per584
0	1	per585
1	0	per586
1	1	per587
0	0	per588
1	1	per589
1	0	per59
2	0	per590
1	0	per591
1	1	per592
0	1	per593
1	1	per594
2	0	per595
1	0	per596
0	1	per597
2	0	per598
1	1	per599
0	0	per6
1	1	per60
0	0	per600
1	0	per601
1	1	per602
2	0	per603
1	0	per604
2	0	per605
2	1	per606
1	0	per607
1	1	per608
1	1	per609
2	0	per61
0	1	per610
1	0	per611
1	0	per612
2	0	per613
1	0	per614
2	0	per615
1	1	per616
2	1	per617
1	0	per618
1	1	per619
1	1	per62
0	1	per620
0	0	per621
1	0	per622
1	1	per623
2	0	per624
0	0	per625
0	0	per626
2	1	per627
0	1	per628
0	1	per629
1	1	per63
1	0	per630
2	0	per631
0	0	per632
0	1	per633
1	1	per634
2	1	per635
1	0	per636
0	1	per637
1	1	per638
0	1	per639
1	1	per64
2	0	per640
1	1	per641
1	0	per642
2	1	per643
1	1	per644
2	1	per645
0	1	per646
2	0	per647
1	0	per648
1	0	per649
1	1	per65
0	0	per650
0	0	per651
1	0	per652
2	0	per653
1	1	per654
2	0	per655
0	0	per656
1	1	per657
0	0	per658
1	1	per659
1	1	per66
1	1	per660
0	1	per661
2	0	per662
1	1	per663
0	1	per664
1	0	per665
1	0	per666
1	0	per667
2	1	per668
2	0	per669
0	1	per67
1	0	per670
0	1	per671
1	0	per672
1	0	per673
1	1	per674
1	0	per675
1	0	per676
0	0	per677
0	1	per678
2	0	per679
0	0	per68
1	0	per680
1	1	per681
1	0	per682
1	1	per683
2	0	per684
1	0	per685
1	0	per686
0	1	per687
2	1	per688
0	1	per689
2	0	per69
1	0	per690
0	0	per691
0	0	per692
0	0	per693
1	1	per694
1	1	per695
1	0	per696
1	1	per697
1	1	per698
2	1	per699
1	1	per7
2	1	per70
0	0	per700
2	0	per701
2	0	per702
0	0	per703
0	1	per704
1	0	per705
0	0	per706
2	1	per707
1	0	per708
1	1	per709
1	0	per71
1	1	per710
1	1	per711
1	1	per712
1	1	per713
0	1	per714
2	0	per715
1	0	per716
1	0	per717
0	1	per718
0	1	per719
2	1	per72
1	0	per720
0	1	per721
2	1	per722
1	0	per723
1	0	per724
1	1	per725
0	0	per726
1	0	per727
0	1	per728
1	1	per729
1	0	per73
1	0	per730
1	0	per731
1	0	per732
1	0	per733
1	1	per734
1	0	per735
1	0	per736
1	0	per737
0	0	per738
1	1	per739
1	0	per74
2	0	per740
1	0	per741
2	1	per742
2	1	per743
1	0	per744
2	0	per745
1	0	per746
0	0	per747
1	1	per748
1	1	per749
0	1	per75
1	0	per750
2	0	per751
0	1	per752
0	0	per753
1	0	per754
2	1	per755
1	1	per756
0	0	per757
1	0	per758
2	1	per759
0	0	per76
2	1	per760
0	0	per761
0	0	per762
0	0	per763
0	0	per764
1	1	per765
0	1	per766
1	1	per767
1	0	per768
1	1	per769
1	0	per77
2	0	per770
1	0	per771
0	1	per772
1	1	per773
0	0	per774
0	0	per775
0	0	per776
0	0	per777
1	0	per778
1	0	per779
2	1	per78
1	1	per780
1	0	per781
0	0	per782
0	1	per783
0	1	per784
0	0	per785
1	1	per786
0	1	per787
0	0	per788
1	0	per789
2	0	per79
1	1	per790
0	0	per791
2	0	per792
1	0	per793
1	0	per794
1	0	per795
2	0	per796
1	1	per797
0	0	per798
0	0	per799
1	0	per8
1	1	per80
2	0	per800
0	0	per801
1	1	per802
2	1	per803
1	1	per804
2	1	per805
1	1	per806
0	0	per807
1	0	per808
0	1	per809
2	1	per81
1	1	per810
2	1	per811
1	0	per812
0	0	per813
0	0	per814
1	1	per815
0	1	per816
1	1	per817
1	1	per818
1	0	per819
2	0	per82
0	1	per820
2	1	per821
1	1	per822
2	1	per823
2	1	per824
1	0	per825
1	1	per826
1	1	per827
1	0	per828
1	0	per829
1	1	per83
2	0	per830
1	0	per831
1	1	per832
2	1	per833
2	0	per834
1	0	per835
0	0	per836
0	1	per837
1	1	per838
1	0	per839
2	0	per84
0	0	per840
1	0	per841
0	0	per842
1	0	per843
1	0	per844
1	0	per845
0	1	per846
1	1	per847
1	0	per848
1	0	per849
0	1	per85
0	1	per850
0	1	per851
2	0	per852
2	0	per853
2	1	per854
1	1	per855
1	1	per856
0	0	per857
1	1	per858
2	0	per859
1	0	per86
2	1	per860
1	0	per861
0	1	per862
1	1	per863
0	1	per864
1	1	per865
2	0	per866
0	0	per867
